@relation data/M_multi_metrics_EQ.csv-weka.filters.unsupervised.attribute.Remove-R1

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_lcom numeric
@attribute LDHH_fanIn numeric
@attribute numberOfNonTrivialBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute WCHU_numberOfAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute WCHU_fanIn numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute WCHU_numberOfMethods numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute ck_oo_wmc numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute WCHU_wmc numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfMethods numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute ck_oo_rfc numeric
@attribute LDHH_wmc numeric
@attribute LDHH_numberOfAttributes numeric
@attribute LDHH_numberOfLinesOfCode numeric
@attribute WCHU_fanOut numeric
@attribute WCHU_lcom numeric
@attribute ck_oo_cbo numeric
@attribute WCHU_rfc numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_cbo numeric
@attribute CvsLinEntropy numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute numberOfBugsFoundUntil: numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute LDHH_rfc numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute LDHH_cbo numeric
@attribute WCHU_numberOfLinesOfCode numeric
@attribute CvsExpEntropy numeric
@attribute LDHH_numberOfMethods numeric
@attribute class {buggy,clean}

@data
1,0.0017,0.001019,7,0,5.05,0.225884,0.00115,1.01,0.001935,14.9282,0,1.01,3.05,0,0,1,29,0.000672,4.04,0.356326,0,0.000814,8.18,18,122,3,7,2,2,0,1.01,21,1.03,52,0.006468,0.002458,0.006698,5.12,3.2,19,5.3,8,0,4,3,2.03,0.000287,5.12,0.022974,2.08,9,0.00452,0.002251,0.004848,24,5,0.004816,8.46,0.004969,0.00225,buggy
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6,0,2,1,0,0,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,2,0,0,0,0,clean
10,0.004232,0.001784,11,0,0,0.661068,0.002743,2.03,0,19.4467,0,6.07,7.11,0,0,0,98,0.002962,0,0.507472,0,0.003134,14.08,13,248,3,19,1,4,0,0,171,2.03,171,0.017277,0,0.018578,6.14,8.44,16,14.78,1,0,1,0,5.06,0,7.14,0.048074,6.07,13,0.007979,0.004318,0.017204,15,9,0.009065,17.64,0.088626,0.004729,buggy
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,clean
4,0,0,1,0,0,0.009152,0,0,0,2.75305,0,0,0,0,0,0,52,0,0,0.091169,0,0,0,3,141,0,11,1,4,0,0,55,0,66,0,0,0,1.01,0,7,0,12,0,12,0,0,0,1.01,0.015512,1.01,1,0.000801,0.001486,0,7,7,0.000783,0,0.054874,0,clean
0,0,0.001019,6,1.02,0,0.071204,0,1.01,0.000563,6.36008,0,0,0,0,0,1,39,0,1.02,0.183285,0,0,3.21,10,107,0,9,1,1,0,0,36,0,78,0.009389,0,0.009207,2.03,0,10,4.36,2,0,2,1,0,0,2.03,0.022703,0,6,0.008717,0,0.009818,0,9,0.008395,3.49,0.057702,0,clean
0,0.001949,0.0009,3,0,1.01,0.020035,0.000938,1.01,0.000675,5.41761,0,0,3.04,0,0,0,18,0,1.01,0.131371,0,0,4.13,5,33,0,9,3,5,0,0,36,0,18,0.00371,0.000615,0.002214,1.04,3.26,10,3.12,2,0,2,0,2.02,0,1.05,0.009491,3.11,3,0.000925,0.002881,0.002185,45,7,0.000932,3.19,0.010242,0.002237,buggy
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,clean
2,0,0,1,0,0,0.02046,0,0,0,1.80545,0,0,0,0,0,0,13,0,0,0.044952,0,0,0,4,56,0,11,1,0,0,0,55,0,26,0,0,0,0,0,4,0,7,0,7,0,0,0,0,0.003254,1.01,1,0,0.001486,0,7,9,0,0,0.000777,0,clean
1,0,0,3,0,0,0.044671,0,0,0,5.63536,0,0,0,0,0,0,14,0,0,0.133442,0,0,0,2,54,0,8,1,0,0,0,28,0,16,0,0,0,0,0,2,0,4,0,4,0,0,0,0,0.008342,6.08,3,0,0.007778,0,26,7,0,0,0.001137,0,clean
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,9,0,2,1,0,0,0,1,0,8,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,2,0,0,0,0,clean
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,clean
3,0,0,3,0,0,0.028686,0,0,0,1.53632,0,0,0,0,0,0,35,0,0,0.12341,0,0,0,15,130,0,9,1,3,0,0,36,0,72,0,0,0,0,0,17,0,3,0,3,0,0,0,0,0.041271,0,3,0,0,0,7,3,0,0,0.108877,0,buggy
6,0.006652,0,9,0,3.04,1.07722,0.002869,0,0.002914,20.7622,0,3.04,7.1,0,0,0,288,0.003978,3.04,0.538207,0,0,11.55,45,1434,0,66,3,1,0,1.02,2145,0,677,0.011089,0.003625,0.014923,9.14,13.05,46,14.92,9,0,9,0,5.06,0,9.14,0.046708,2.09,13,0.006999,0.001486,0.01457,16,54,0.008523,17.23,0.06027,0.007568,buggy
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6,0,2,1,0,0,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,2,0,0,0,0,clean
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,clean
4,0.003594,0.004039,3,0,3.03,0.12793,0.00026,3.03,0.004584,5.67634,0,0,2.04,0,0,0,38,0,3.03,0.167018,0,0,4.07,10,144,0,23,1,18,0,0,253,0,77,0.006766,0.00653,0.006037,3.03,2.82,28,4.09,16,0,11,0,2.04,0,6.06,0.021438,0,4,0.008322,0,0.006827,7,19,0.015399,4.2,0.057939,0.003448,clean
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6,0,2,1,0,0,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,2,0,0,0,0,clean
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,clean
0,0,0,1,0,1.01,0.035403,0,0,0,4.64163,0,0,0,0,2,0,0,0,1.01,0.117441,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0.010063,3.04,1,0,0.003319,0,19,0,0,0,0.018433,0,clean
0,0.00132,0.011698,4,0,0,0.122068,0.001351,3.04,0,9.84115,0,0,2.04,0,3,0,15,0,0,0.250087,2.02,0,3.12,2,39,0,12,1,5,0,0,66,0,18,0.001866,0,0.004899,1.01,2.38,6,3.07,1,0,0,0,2.04,0,3.04,0.020443,1.01,4,0.00067,0.001486,0.002184,10,12,0.009328,4.36,0.023286,0.001498,buggy
0,0,0,3,0,0,0.116713,0,0,0.006087,5.71254,0,0,0,0,0,1,17,0,1.05,0.171902,0,0,1.04,8,133,0,4,1,1,0,0,6,0,48,0.000794,0,0.008604,1.01,0,9,3.13,5,0,5,2,0,0,1.01,0.02535,1.01,3,0.002039,0.001486,0.014779,7,0,0.001769,2.24,0.083254,0,buggy
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6,0,2,1,0,0,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,2,0,0,0,0,clean
3,0,0,4,0,1.01,0.680116,0,0,0.000628,9.006,0,0,0,0,0,0,26,0,1.01,0.214537,0,0,0,7,90,0,10,1,1,0,0,45,0,33,0,0.000627,0.001163,0,0,7,0,13,0,9,0,0,0,0,0.013972,2.05,4,0,0.002379,0,33,5,0,2.09,0.005361,0,buggy
3,0,0,2,0,1.01,0.159366,0,0,0.000628,5.38882,0,0,0,0,0,0,22,0,1.01,0.12658,0,0,0,7,76,0,10,1,1,0,0,45,0,29,0,0.000627,0.000831,0,0,7,0,9,0,6,0,0,0,0,0.007778,2.05,2,0,0.002379,0,33,5,0,1.08,0.001539,0,buggy
29,0.009306,0.0009,19,0,6.13,0.479871,0.001321,1.02,0.003851,21.5348,0,7.34,8.39,0,0,2,146,0.00911,6.11,0.566668,0,0,16.73,22,596,0,36,1,3,0,0,630,0,331,0.023444,0.003925,0.024689,6.13,18.08,23,19.3,16,1,9,3,2.02,0,6.13,0.054206,1.01,20,0.011889,0.001486,0.017347,7,3,0.012001,22.87,0.100592,0.010092,buggy
1,0.002437,0.007603,5,0,0,0.120935,0.003881,3.06,0,9.83384,0,1.01,2.02,0,5,0,17,0,0,0.262567,1.01,0,2.04,8,55,0,14,1,21,0.000718,0,91,0,39,0.004827,0,0.004615,3.03,2.25,28,2.06,4,0,1,1,2.02,0,5.08,0.023937,0,5,0.006519,0,0.005419,7,11,0.009561,2.07,0.027077,0.003881,buggy
2,0.001815,0.001019,5,0,0,0.041067,0,1.01,0,3.20728,0,0,1.02,3,0,0,46,0,0,0.087805,0,0,1.02,4,160,0,19,1,5,0,0,171,0,66,0.001493,0,0.002142,2.02,1.35,9,2.09,16,0,13,0,1.02,0,3.03,0.0091,2.03,6,0.002934,0.001486,0.00221,18,17,0.003634,2.07,0.018943,0.001773,clean
5,0.009124,0.001019,13,1.03,3.13,0.540803,0,1.01,0.006704,14.3621,0.000221,2.02,4.05,3,0,0,91,0.007732,2.02,0.390746,0,0.000814,6.35,22,424,1,29,1,2,0,0,406,1.01,205,0.014238,0.007891,0.01229,4.04,5.3,24,7.76,25,0,3,0,0,0,5.05,0.043717,1.05,18,0.004045,0.001486,0.015033,13,7,0.004792,8.36,0.104634,0.009689,clean
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,45,0,8,1,4,0,0,28,0,16,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,0,1,0,0,0,11,7,0,0,0,0,clean
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,28,0,3,1,3,0,0,3,0,26,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,clean
0,0,0,1,0,0,0,0,1.01,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,8,65,2,14,3,4,0,0,91,0,35,0,0,0,0,0,12,0,4,0,4,0,0,0,1.01,0,0,1,0,0,0,47,9,0.000654,0,0,0,buggy
1,0.007705,0.007987,2,0,0,0.070988,0.006293,1.01,0,7.71238,0,0,2.02,1,0,0,29,0,0,0.212488,0,0,1.04,4,121,0,7,1,3,0,0,21,0,71,0.000767,0,0.001489,1.01,2.11,7,3.28,1,0,0,0,2.02,0,2.02,0.02402,4.04,2,0.00107,0.007592,0.00942,12,5,0.009149,2.19,0.057892,0.008456,clean
14,0.0012,0,8,0,3.06,0.543131,0.001798,0,0.015437,10.4053,0,1.04,2.05,0,0,0,117,0,3.06,0.327027,0,0,4.16,19,393,0,32,1,7,0,0,496,0,196,0.005924,0.014311,0.011025,4.05,3.45,26,6.36,11,0,11,2,1.01,0,4.05,0.049413,0,9,0.004027,0,0.011595,7,18,0.004014,4.68,0.101643,0.001215,buggy
2,0,0,4,0,1.01,0.167939,0,0,0,6.60072,0,0,0,0,0,0,31,0,0,0.179821,0,0,2.02,10,110,0,16,1,1,0,0,120,0,49,0.001732,0,0.002341,1.01,0,11,2.02,7,0,0,1,0,0,1.01,0.020596,1.01,4,0.001148,0.001486,0.001617,19,5,0.001087,3.19,0.055432,0,clean
1,0.000549,0,6,1.03,2.05,0.116132,0.000613,0,0.001229,9.696,0.001024,1.01,1.03,0,0,0,29,0.000439,2.04,0.248248,0,0,3.21,14,116,0,8,1,2,0,0,28,0,61,0.002183,0.001133,0.011311,4.11,1.18,14,5.47,8,0,4,0,1.02,0,4.11,0.02388,2.03,6,0.003548,0.002067,0.003487,12,6,0.003773,6.65,0.055093,0.00062,clean
0,0,0.005426,3,0,0,0.026373,0,1.01,0,1.782,0,0,0,0,0,0,13,0,0,0.089201,0,0,0,2,28,0,5,1,9,0,0,10,0,11,0,0,0,0,0,11,0,3,0,3,0,0,0,1.01,0.024259,0,3,0,0,0,7,5,0.004693,0,0.086754,0,buggy
0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,39,0,0,0,0,0,0,4,145,0,10,1,1,0,0,45,0,38,0,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,1,0,0,0,7,10,0,0,0,0,clean
0,0,0,2,0,0,0.012287,0,0,0,2.23731,0,0,0,0,0,0,4,0,0,0.053999,0,0,0,2,12,0,3,1,1,0,0,3,0,7,0,0,0.000708,0,0,3,0,0,0,0,0,0,0,0,0.003552,3.05,2,0,0.002549,0,9,3,0,1.06,0.000455,0,buggy
4,0.001685,0.000571,10,1.02,3.03,0.72654,0.000326,1.01,0.002566,12.6435,0.000697,2.03,3.04,2,0,3,36,0.001447,2.02,0.328829,0,0,9.27,5,108,0,10,1,1,0,0,45,0,55,0.006936,0.002786,0.007523,2.02,3.3,6,6.34,4,0,2,4,2.02,0,2.03,0.028244,3.04,12,0.002132,0.00247,0.006876,24,3,0.002283,9.88,0.030902,0.001771,clean
30,0,0,10,0,2.07,0.184042,0,0,0.000783,11.7006,0,0,0,1,0,0,165,0,1.01,0.305974,0,0,3.03,24,610,0,37,1,2,0,0,666,0,397,0.001995,0.001417,0.001141,6.06,0,26,6.16,38,0,23,1,0,0,5.05,0.029455,1.01,11,0.009052,0.001486,0.003464,9,6,0.007987,2.04,0.056803,0,clean
3,0.001162,0.001337,5,0,2.02,0.227813,0.000635,1.01,0.008621,6.31789,0,0,1.01,0,0,0,30,0,2.02,0.219534,0,0,3.05,19,124,0,13,1,0,0,0,78,0,85,0.012858,0.007724,0.012927,4.06,1.13,19,3.26,8,0,6,0,1.01,0,4.07,0.040618,0,5,0.008153,0,0.013772,17,10,0.015573,3.22,0.124534,0.000874,buggy
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,clean
0,0,0,1,0,0,0.001059,0,0,0,1.45568,0,0,0,0,0,0,1,0,0,0.035206,0,0,0,2,4,7,1,2,0,0,0,0,0,3,0,0,0.00077,2.02,0,2,1.03,0,0,0,0,0,0,2.02,0.00233,5.11,1,0.003109,0.005594,0.000727,38,1,0.002909,1.01,0.000312,0,clean
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,9,0,2,1,0,0,0,1,0,8,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,2,0,0,0,0,clean
1,0.000157,0,3,1.01,0,0.141696,0.000219,0,0.000396,7.35911,0.000276,1.01,1.02,0,0,0,5,0.000591,1.01,0.171798,0,0,1.01,4,13,0,2,1,0,0,0,1,0,9,0.000516,0,0.000541,1.02,1.05,4,1.02,1,0,1,0,1.03,0,1.02,0.010303,2.04,3,0.000396,0.001702,0.000534,7,1,0.000446,1.05,0.00163,0.000322,buggy
0,0.001163,0.001019,7,0,2.02,0.109973,0.00115,1.01,0.000975,12.8303,0,0,2.04,0,0,0,23,0,2.02,0.307556,0,0.000814,4.12,17,107,3,6,2,2,0,1.01,15,1.03,46,0.002881,0.001258,0.004944,4.11,2.14,18,4.25,7,0,7,2,2.04,0.000287,4.11,0.020132,2.08,9,0.00415,0.002251,0.003621,24,6,0.004255,6.44,0.004824,0.00146,clean
0,0,0,8,7.22,8.23,0.075157,0,0,0.000616,10.6126,0.01673,0,0,21,0,0,0,0,1.01,0.31044,0,0.003652,0,0,0,3,0,2,0,0,1.01,0,3.05,0,0,0.017561,0,0,0,0,0,22,0,1,0,0,0.000364,0,0.040351,3.06,8,0,0.003534,0,12,0,0,0,0.118848,0,buggy
49,0.024636,0.001617,57,1.01,8.14,2.67075,0,4.04,0.008751,36.0219,0.000697,16.3,16.32,7,0,4,534,0.024691,8.13,0.993943,0,0,37.23,38,1543,0,64,1,5,0,0,2016,0,1009,0.047436,0.010685,0.056661,14.22,32.49,39,43.4,32,0,25,11,1.02,0,14.22,0.107839,2.03,58,0.032836,0.001835,0.055918,17,11,0.033619,48.68,0.221266,0.027806,buggy
1,0.001264,0.000684,4,1.01,0,0.106124,0.000876,1.01,0,7.69165,0.006808,1.01,2.02,1,0,1,36,0.000617,0,0.211378,0,0,5.21,9,116,0,14,2,5,0,1.01,91,0,43,0.004647,0,0.012545,6.09,2.25,13,5.23,1,0,0,1,1.01,0,7.1,0.023963,3.03,4,0.005126,0.003316,0.011273,13,9,0.006487,6.72,0.059224,0.001453,buggy
3,0.001386,0.017886,7,0,1.01,0.221717,0.000303,5.07,0,8.65833,0,1.01,2.02,0,1,0,86,0.00063,0,0.222256,0,0.003413,3.09,16,248,5,50,1,25,0,0,1225,1.01,114,0.002421,0.001166,0.002421,2.03,2.97,38,3.16,20,0,16,1,1.01,0,6.09,0.017921,0,7,0.003586,0,0.00252,33,47,0.018459,3.33,0.011762,0.00151,buggy
0,0,0,2,0,0,0.03215,0,0,0,4.04276,0,0,0,0,0,0,6,0,0,0.098951,0,0,0,5,23,0,5,1,2,0,0,10,0,11,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0.006805,0,2,0,0,0,7,5,0,0,0.001232,0,clean
