@relation 'data/final_8020_mylyn.csv-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R99-weka.filters.unsupervised.attribute.Remove-R1-5,16-17,19,25-26,30-36,41,44-45,49-67,70,77-83,92,95-99,101,105,108,112'

@attribute metrics29 numeric
@attribute metrics28 numeric
@attribute metrics27 numeric
@attribute metrics26 numeric
@attribute metrics25 numeric
@attribute metrics24 numeric
@attribute metrics23 numeric
@attribute metrics22 numeric
@attribute metrics21 numeric
@attribute metrics20 numeric
@attribute metrics9 numeric
@attribute metrics8 numeric
@attribute metrics7 numeric
@attribute metrics6 numeric
@attribute metrics5 numeric
@attribute metrics4 numeric
@attribute metrics3 numeric
@attribute metrics2 numeric
@attribute metrics1 numeric
@attribute metrics19 numeric
@attribute metrics18 numeric
@attribute metrics16 numeric
@attribute metrics15 numeric
@attribute metrics14 numeric
@attribute metrics13 numeric
@attribute metrics12 numeric
@attribute metrics11 numeric
@attribute metrics10 numeric
@attribute metrics57 numeric
@attribute metrics56 numeric
@attribute metrics55 numeric
@attribute metrics54 numeric
@attribute metrics53 numeric
@attribute metrics52 numeric
@attribute metrics51 numeric
@attribute metrics50 numeric
@attribute metrics49 numeric
@attribute metrics48 numeric
@attribute metrics47 numeric
@attribute metrics46 numeric
@attribute metrics45 numeric
@attribute metrics44 numeric
@attribute metrics43 numeric
@attribute metrics42 numeric
@attribute metrics41 numeric
@attribute metrics40 numeric
@attribute metrics39 numeric
@attribute metrics38 numeric
@attribute metrics37 numeric
@attribute metrics36 numeric
@attribute metrics35 numeric
@attribute metrics34 numeric
@attribute metrics33 numeric
@attribute metrics32 numeric
@attribute metrics31 numeric
@attribute metrics30 numeric
@attribute class {buggy,clean}

@data
142,3,3,1,272,11,222,0,2089288,37,26,822,449,0,0,0,0,0,0,61,4,1.68594,21.8085,76.5056,6344,3,2001.5,20,0,694,1,4,3,113,3,4,25,110,4,4,27,233,13,11,22,0,0,0,701,2,2,3,139,3,0,1,clean
130,10,7,6,109,53,67,1,1,58,46,14,32,3.76333,4.5484,2,4,3,5,2,4,14.3366,85.3933,0.2701,1942,2,97.8333,3,27,8,4,4,6,39,20,39,35,45,29,14,45,58,27,23,25,0,0,0,20,0,2,5,127,2,2,0,clean
65,1,0,0,63,5,10,243143,972549,2418,35,27,39,0.812404,2.2,2,2,2,2,7,3,8.44083,91.1292,0.42998,1035,0,4,2,26,4,2,3,1,28,12,14,12,28,7,12,20,19,17,10,17,0,0,0,11,0,1,1,63,1,0,0,clean
150,3,2,1,289,11,222,0,2089288,37,25,820,496,0,0,0,0,0,0,82,4,6.07146,16.6951,77.2335,6414,6,1983,20,0,676,1,3,2,128,3,3,17,126,3,3,20,263,9,8,17,0,0,0,680,2,1,2,148,2,0,0,clean
113,5,5,3,93,48,62,82938,83656,761058,35,21,47,6.73164,4.68229,2,8,4,5,3,4,18.0788,81.7867,0.134484,1684,2,34.8333,1,23,9,3,3,4,35,15,37,28,41,27,10,38,44,22,19,21,0,0,0,19,1,1,4,111,1,2,0,clean
65,1,0,0,63,5,10,120092,960512,1899143,35,27,39,3.05894,4,2,2,3,3,7,3,8.44083,91.1292,0.42998,1035,0,4,2,26,4,2,3,1,28,12,14,12,28,7,12,20,19,17,10,17,0,0,0,11,0,1,1,63,1,0,0,clean
150,3,2,1,289,11,222,0,2089288,37,25,820,496,0,0,0,0,0,0,82,4,6.07146,16.6951,77.2335,6414,6,1983,20,0,676,1,3,2,128,3,3,17,126,3,3,20,263,9,8,17,0,0,0,680,2,1,2,148,2,0,0,clean
142,6,5,3,113,51,65,7,15,1350,41,19,41,6.39715,5.38791,2,8,6,10,2,3,10.1886,89.733,0.078366,2079,2,139.111,3,26,8,4,5,6,41,19,46,37,48,35,12,48,54,27,23,24,0,0,0,21,1,1,4,138,1,1,0,clean
142,3,3,1,272,11,222,2089287,2089288,37,26,822,449,0,3,0,1,0,1,61,4,1.68594,21.8085,76.5056,4229,3,1334.33,20,0,694,1,4,3,113,3,4,25,110,4,4,27,233,13,11,22,0,0,0,701,2,2,3,139,3,0,1,clean
108,5,3,2,77,50,64,4948,10683,875947,31,5,9,17.9967,10.0705,2,4,5,5,4,3,13.6069,86.2594,0.13366,1550,1,133.5,3,20,4,2,3,4,29,14,36,29,33,30,9,36,37,19,17,15,0,0,0,12,0,1,3,106,1,1,0,clean
101,4,5,4,106,10,19,22549,69373,0,35,24,49,0.715367,1.72361,2,3,1,2,2,4,19.5127,80.3129,0.174405,1594,0,121.5,4,23,12,4,6,4,33,19,27,25,37,20,13,34,42,26,23,28,0,0,1,23,1,1,4,98,2,2,0,clean
96,5,2,1,69,45,58,11116,39323,599525,28,3,5,11.7028,7.93995,2,6,2,4,2,3,13.4033,86.3853,0.211356,1389,1,117,3,18,3,2,3,4,26,12,32,26,29,27,8,31,34,17,15,13,0,0,0,11,0,0,2,94,1,1,0,clean
29,6,5,2,27,8,25,0,84989,0,14,50,46,0,0,0,0,0,0,22,4,1.83405,98.1494,0.01655,710,4,18,1,0,29,1,2,5,10,1,1,20,10,0,0,22,24,1,1,14,0,0,1,36,2,1,3,26,0,1,2,clean
104,4,3,2,73,50,64,16244,49043,452137,29,5,10,20.0824,9.89949,2,3,4,5,5,3,11.3065,88.5189,0.174597,1482,1,133.25,3,19,4,2,3,4,28,12,35,28,32,29,8,35,36,18,16,14,0,0,0,12,0,1,3,102,1,1,0,clean
231,324,184,182,850,23,472,0,167414,2646476,839,259,1225,0,0,0,0,0,0,175,2565,21.6019,68.3029,10.0952,12274,14,768,30,0,424,3,4,10,159,12,15,47,161,10,9,52,1449,23,21,48,0,0,0,440,1,1,2,229,1,0,0,clean
29,6,5,2,27,8,25,0,84989,0,14,50,46,0,0,0,0,0,0,22,4,1.83405,98.1494,0.01655,710,4,18,1,0,29,1,2,5,10,1,1,20,10,0,0,22,24,1,1,14,0,0,1,36,2,1,3,26,0,1,2,clean
93,10,7,6,100,27,37,863264,867349,256862,43,18,36,17.7348,12.8294,2,5,4,6,2,5,12.8076,87.0154,0.177073,1487,1,50.7273,3,23,7,3,4,4,31,20,23,24,36,14,14,33,51,25,22,25,0,0,0,18,0,2,4,90,2,2,0,clean
29,6,5,2,27,8,25,0,84989,0,14,50,46,0,0,0,0,0,0,22,4,1.83405,98.1494,0.01655,710,4,18,1,0,29,1,2,5,10,1,1,20,10,0,0,22,24,1,1,14,0,0,1,36,2,1,3,26,0,1,2,clean
128,11,7,6,107,53,67,691894,691984,1747066,46,14,29,3.74489,3.7012,2,5,3,6,3,5,10.6491,89.0321,0.318754,1914,1,97.3333,3,26,8,4,4,6,39,21,38,34,45,28,15,44,57,27,23,25,0,0,0,20,0,2,4,126,2,2,0,clean
281,211,112,111,917,13,515,0,167414,2646476,521,867,1402,0,0,0,0,0,0,430,4,68.6819,31.2978,0.020318,13922,26,187,7,0,863,1,2,2,254,6,4,16,255,4,5,16,1311,10,11,20,0,0,0,867,0,0,2,280,0,0,0,clean
20,6,2,0,33,1,24,0,84989,0,21,0,0,0,0,0,0,0,0,17,13,99.9542,0.04543,0.000382,1225,33,6769,59,0,163,0,1,0,14,2,1,2,15,2,1,2,22,4,5,10,0,0,0,164,0,0,1,18,0,0,0,clean
229,312,165,165,842,13,440,0,167414,2646476,772,0,0,0,0,0,0,0,0,166,5,53.9999,45.9798,0.020374,12531,6,392.5,18,0,550,2,3,4,194,9,6,21,195,5,7,22,1434,12,14,26,0,0,0,557,0,0,1,229,0,1,0,clean
4,0,0,0,4,1,6,2125268,2286862,0,2,6,8,0.471405,2.04762,2,2,1,1,5,2,27.3012,72.6986,0.000169,85,46,582.667,8,1,2,0,0,0,3,0,1,1,3,0,0,1,3,0,0,1,0,0,0,3,0,0,0,4,0,0,0,clean
12,3,0,2,23,6,12,0,420441,892037,7,25,98,0,0,0,0,0,0,27,5,8.59331,90.9979,0.408758,290,20,6,5,0,0,0,2,1,3,2,3,5,2,4,1,6,15,3,4,6,0,0,1,2,0,1,0,12,0,1,0,clean
41,1,2,1,51,16,40,2391764,2392194,663815,16,24,33,2.87991,2.99608,3,8,4,4,23,4,21.4667,70.0948,8.43844,794,1,1601.71,39,1,15,1,2,2,12,7,9,12,14,5,5,17,34,7,5,10,0,0,0,20,0,0,1,40,1,0,0,clean
12,3,0,2,23,6,12,0,420441,892037,7,25,98,0,0,0,0,0,0,27,5,8.59331,90.9979,0.408758,290,20,6,5,0,0,0,2,1,3,2,3,5,2,4,1,6,15,3,4,6,0,0,1,2,0,1,0,12,0,1,0,clean
20,0,0,0,22,4,6,0,420441,892037,13,7,35,0,0,0,0,0,0,2,10,4.79246,94.3736,0.833955,320,0,22,4,0,1,0,0,3,2,2,12,2,5,10,0,4,13,2,3,4,0,0,0,4,0,0,0,19,0,0,0,clean
20,0,0,0,22,4,6,0,420441,892037,13,7,35,0,0,0,0,0,0,2,10,4.79246,94.3736,0.833955,320,0,22,4,0,1,0,0,3,2,2,12,2,5,10,0,4,13,2,3,4,0,0,0,4,0,0,0,19,0,0,0,clean
91,2,1,1,97,27,117,419236,420441,892037,24,143,71,8.00016,5.20519,2,3,4,2,14,6,20.2791,78.6997,1.02122,1596,1,54.4444,4,8,117,2,2,3,39,10,20,23,41,14,8,30,59,14,11,18,0,0,0,124,0,0,2,90,1,1,0,clean
85,13,10,10,87,26,56,288095,576187,1129389,27,0,0,0.235702,1.66667,2,2,1,2,6,11,0.003733,95.4422,4.55402,1698,10,4204,94,20,10,8,3,6,32,17,30,19,38,14,16,30,50,24,15,29,1,4,3,21,4,5,6,81,9,1,1,clean
38,6,4,4,43,26,56,0,284068,568077,14,6,24,0,0,0,0,0,0,5,7,16.054,79.5906,4.35547,781,3,1401.67,32,7,4,3,1,3,14,7,14,9,16,7,6,15,27,9,6,15,0,1,1,8,2,3,4,35,5,0,0,clean
6,0,0,0,10,1,5,0,0,0,5,2,6,1.29703,1.875,2,2,1,2,1,7,66.1327,27.6888,6.17849,96,0,0,1,3,0,0,0,0,2,1,0,2,3,2,0,1,3,1,4,2,0,0,0,0,0,0,0,5,0,0,0,clean
49,2,2,2,47,13,24,2486133,2486165,0,23,0,1,1.54679,2.55385,2,4,2,5,3,7,12.7152,83.2919,3.99285,794,0,22.8,3,16,1,1,3,0,18,8,13,12,17,11,7,17,21,11,8,12,0,0,0,5,1,1,2,46,2,0,0,clean
76,3,2,2,83,23,40,14964,118832,680888,31,6,16,0.920033,2.22254,2,2,3,3,5,7,14.9865,82.51,2.50351,1031,1,56.1,4,14,5,2,3,3,25,11,20,22,25,15,9,29,41,17,12,19,0,0,0,12,0,1,2,74,1,1,0,clean
129,5,4,3,97,45,58,3123,5946,6786,35,14,32,11.6424,8.30888,2,6,4,6,2,3,12.0313,87.8751,0.093655,1872,2,131.222,3,23,8,3,4,5,37,16,43,34,42,34,10,43,47,23,20,21,0,0,0,18,0,1,4,126,1,1,0,clean
40,2,2,2,51,34,68,32752,74754,382678,22,20,26,11.9919,7.51651,3,3,5,6,9,5,23.155,71.7637,5.08129,807,14,324.92,5,6,27,2,2,1,15,7,9,10,16,5,5,14,31,9,7,11,0,0,0,32,0,0,0,40,0,0,0,buggy
1,0,0,0,2,2,3,0,0,1797779,1,2,4,0,0,0,0,0,0,0,1,2.71084,75.7697,21.5194,8,0,0.333333,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,buggy
98,3,4,3,207,6,126,0,16403,56978,12,422,341,0,0,0,0,0,0,83,2,32.8595,67.1363,0.004115,3020,0,265.25,21,0,328,0,1,1,91,1,2,3,91,1,1,4,207,3,3,5,0,0,0,329,0,0,2,96,0,0,0,clean
33,1,1,0,29,14,25,98398,100374,125981,15,4,23,10.8449,7.66071,2,3,5,3,2,8,3.31757,96.1162,0.56626,507,3,87.3333,9,4,1,1,0,3,6,5,14,7,10,10,2,10,17,5,5,5,0,0,0,4,0,0,1,32,0,0,0,clean
31,0,0,1,34,13,24,501137,1001886,4666640,13,6,24,0.739313,1.855,2,2,4,2,3,10,3.09391,96.4485,0.457612,343,11,27.8333,3,3,1,0,1,4,8,4,12,7,9,9,3,11,17,8,6,4,0,0,0,6,0,0,0,30,0,0,0,buggy
39,1,1,0,32,14,25,5448,58615,516865,16,3,14,3.56253,5.76667,2,3,2,3,4,6,2.03597,97.6091,0.354901,604,4,123.4,11,6,1,2,1,3,9,7,15,9,12,9,5,15,16,8,6,4,0,0,0,6,0,0,1,38,0,0,0,clean
28,1,1,1,28,7,16,1600,1620,113,11,4,9,22.0037,11.2083,2,2,3,2,3,6,11.5994,87.8155,0.585078,453,4,674,23,6,2,0,2,1,9,4,10,5,8,10,3,7,14,7,6,4,0,0,1,4,0,1,1,27,0,0,0,clean
85,13,10,10,87,26,56,0,278319,1998503,27,0,0,0,0,0,0,0,0,6,11,0.003733,95.4422,4.55402,1698,10,4204,94,20,10,8,3,6,32,17,30,19,38,14,16,30,50,24,15,29,1,4,3,21,4,5,6,81,9,1,1,clean
20,3,2,2,23,26,56,131547,278319,1998503,10,4,12,15.2013,9.2744,4,6,3,6,3,6,33.4937,54.0432,12.4631,414,11,708.667,17,5,2,1,1,1,8,4,7,5,9,3,4,7,13,6,4,7,0,1,1,4,1,1,2,20,2,1,0,clean
74,8,2,3,92,16,131,0,0,0,19,211,117,0,0,0,0,0,0,40,8,50.7799,49.0638,0.156368,2691,2,207.25,8,0,176,0,1,2,43,7,21,15,46,15,3,22,89,5,2,8,2,1,0,177,8,2,2,73,10,1,0,clean
19,2,2,2,22,3,9,60766,65870,0,16,3,15,1.11996,2.0744,3,3,1,2,9,6,17.8037,81.4197,0.776614,284,6,9.4,5,6,1,1,0,1,7,3,5,6,9,2,2,8,8,7,7,6,0,0,0,3,0,0,1,19,1,0,0,buggy
30,1,1,1,52,7,68,0,0,0,13,42,74,0,0,0,0,0,0,17,4,6.41926,82.2094,11.3713,288,14,2649.67,91,1,12,1,1,1,11,5,8,7,14,4,2,11,34,7,6,8,0,0,0,14,1,0,1,29,1,0,0,buggy
25,2,1,1,33,16,25,64150,256380,2613314,14,6,23,2.75365,3.58655,4,4,3,4,3,6,29.5664,61.6501,8.7835,382,12,99,6,7,1,1,1,1,8,5,7,5,10,4,4,9,16,8,6,7,0,0,0,4,0,0,1,24,1,0,0,clean
455,17,21,15,534,39,67,9478885,9478503,0,163,0,0,0.179219,1.65152,1,2,1,1,2,3,0.031001,99.969,0.000026,1598,11,426.8,57,16,14,10,9,32,116,68,121,170,140,70,46,220,259,123,96,106,1,4,1,62,6,5,17,444,13,4,1,clean
36,4,2,3,44,20,36,0,3072255,1625792,22,1,3,0,0,0,0,0,0,9,10,12.3879,85.395,2.21715,726,12,847.714,17,0,11,2,1,2,13,5,11,9,16,6,3,13,28,7,7,10,0,0,0,17,1,1,1,35,2,0,0,clean
17,3,1,2,24,10,32,228751,457500,1625792,11,8,9,0.370163,1.34167,2,2,1,2,10,9,21.0184,78.8847,0.096906,431,9,848.222,14,1,14,1,1,1,7,2,5,5,9,3,1,6,16,4,4,5,0,0,0,17,1,1,1,16,2,0,0,clean
31,3,2,2,40,20,39,24342,98325,1498718,18,1,3,3.18388,3.98214,2,2,1,2,12,8,18.483,78.1283,3.38866,780,18,4103.53,114,1,41,1,1,2,13,4,8,7,14,5,3,10,25,7,6,8,0,0,0,45,1,1,2,29,1,0,0,clean
74,8,2,3,92,16,131,0,0,0,19,211,117,0,0,0,0,0,0,40,8,50.7799,49.0638,0.156368,2691,2,207.25,8,0,176,0,1,2,43,7,21,15,46,15,3,22,89,5,2,8,2,1,0,177,8,2,2,73,10,1,0,clean
74,8,2,3,92,16,131,0,0,0,19,211,117,0,0,0,0,0,0,40,8,50.7799,49.0638,0.156368,2691,2,207.25,8,0,176,0,1,2,43,7,21,15,46,15,3,22,89,5,2,8,2,1,0,177,8,2,2,73,10,1,0,clean
66,52,59,59,166,18,59,3152169,3153066,473170,256,43,574,9.08085,4.99206,2,3,3,3,514,10,24.2204,67.9268,7.85282,2481,3,77.2,2,8,19,3,2,5,20,10,14,21,24,9,8,24,277,19,18,24,0,0,0,27,0,0,1,66,0,0,0,clean
74,8,2,3,92,16,131,0,0,0,19,211,117,0,0,0,0,0,0,40,8,50.7799,49.0638,0.156368,2691,2,207.25,8,0,176,0,1,2,43,7,21,15,46,15,3,22,89,5,2,8,2,1,0,177,8,2,2,73,10,1,0,clean
74,8,2,3,92,14,131,0,0,0,19,211,117,0,0,0,0,0,0,40,8,50.7799,49.0638,0.156368,2153,2,165.8,8,0,176,0,1,2,43,7,21,15,46,15,3,22,89,5,2,8,2,1,0,177,8,2,2,73,10,1,0,buggy
74,8,2,3,92,16,131,0,0,0,19,211,117,0,0,0,0,0,0,40,8,50.7799,49.0638,0.156368,2691,2,207.25,8,0,176,0,1,2,43,7,21,15,46,15,3,22,89,5,2,8,2,1,0,177,8,2,2,73,10,1,0,clean
74,8,2,3,92,16,131,0,0,0,19,211,117,0,0,0,0,0,0,40,8,50.7799,49.0638,0.156368,2691,2,207.25,8,0,176,0,1,2,43,7,21,15,46,15,3,22,89,5,2,8,2,1,0,177,8,2,2,73,10,1,0,clean
24,1,1,1,27,6,12,3236421,3236434,91433,11,11,32,0,1.5,0,1,0,1,1,6,20.7835,68.0306,11.1859,166,2,0.375,1,0,2,0,3,1,9,4,8,4,8,7,2,9,11,7,5,6,0,0,0,7,1,0,1,24,1,0,0,clean
15,0,0,0,16,7,11,135,2218,91433,8,3,10,3.53986,4.07221,2,2,5,3,3,3,21.6656,77.8324,0.502038,151,12,0.6,1,2,1,0,1,0,6,1,3,5,6,2,1,6,6,3,2,5,0,0,0,3,0,0,0,15,0,0,0,clean
15,3,1,0,9,7,10,0,2899004,0,8,25,133,0,0,0,0,0,0,3,4,2.85772,97.1094,0.032876,90,53,3.66667,3,0,1,0,0,2,7,3,4,5,4,3,6,6,4,6,2,0,0,0,0,4,1,1,2,14,2,1,0,clean
126,9,8,6,161,25,219,2009,11569,265694,58,106,131,0.605095,1.69643,2,2,1,2,37,6,6.54735,77.2693,16.1834,2701,3,127.625,16,24,66,3,4,6,44,17,30,38,47,24,13,46,105,24,22,32,0,0,0,78,1,2,4,123,2,1,1,clean
43,3,2,1,44,10,30,30962,63965,433900,23,4,7,5.3703,5.22917,2,2,1,2,5,6,8.98121,68.7643,22.2545,661,5,599.417,17,13,2,1,1,1,16,7,12,9,18,6,5,15,22,10,7,10,0,0,0,7,0,0,2,41,1,0,0,buggy
71,1,2,2,92,21,219,329101,1319281,1454326,22,100,140,8.17111,6.165,2,2,1,2,31,6,7.83431,71.0339,21.1318,1666,3,95,11,9,58,1,3,4,32,8,13,20,32,11,5,25,62,10,9,16,0,0,0,66,1,1,2,69,2,1,0,clean
132,1,4,2,200,21,219,0,1042851,44416,28,296,411,0,0,0,0,0,0,92,5,16.0748,32.9921,50.9332,3688,9,246,24,0,170,2,6,12,67,10,16,41,67,14,6,46,152,14,14,29,0,0,0,188,2,1,4,129,2,1,0,clean
132,1,4,2,200,21,219,0,1042851,44416,28,296,411,0,0,0,0,0,0,92,5,16.0748,32.9921,50.9332,3688,9,246,24,0,170,2,6,12,67,10,16,41,67,14,6,46,152,14,14,29,0,0,0,188,2,1,4,129,2,1,0,clean
158,2,5,4,262,21,219,1042851,1042851,44416,30,424,523,0,1,0,2,0,1,136,5,24.1083,17.1893,58.7024,4802,10,208,22,0,253,1,4,15,87,10,14,51,88,11,5,57,208,16,16,36,0,1,0,270,2,1,5,156,3,2,1,clean
132,1,4,2,200,21,219,0,1006294,44416,28,296,411,0,0,0,0,0,0,92,5,16.0748,32.9921,50.9332,3688,9,246,24,0,170,2,6,12,67,10,16,41,67,14,6,46,152,14,14,29,0,0,0,188,2,1,4,129,2,1,0,clean
169,4,6,5,242,26,219,0,1331,44416,56,283,357,0,0,0,0,0,0,91,4,3.39824,51.9334,44.6684,2096,6,88,15,0,153,3,3,9,90,14,28,41,93,16,11,53,195,19,11,34,0,1,0,165,1,2,4,166,3,1,1,clean
98,1,2,1,145,21,219,0,1331,44416,14,373,296,0,0,0,0,0,0,79,4,51.2865,24.1115,24.602,3238,16,62.6667,8,0,272,1,2,5,61,5,10,24,62,6,2,28,123,7,5,14,0,0,0,279,0,0,1,97,1,0,0,clean
81,2,4,2,84,11,32,8454,17078,2078438,38,2,5,5.21861,4.45102,2,2,2,2,5,4,0.026574,36.4145,63.559,1349,10,1794.67,53,23,4,3,2,3,30,10,25,17,35,12,6,30,46,18,10,19,0,0,0,12,0,1,3,78,1,1,0,clean
121,7,10,7,161,14,31,178041,352811,1797414,82,25,65,0.267528,1.48485,2,2,1,2,23,8,0.099214,67.0545,32.8463,2336,7,1255.17,32,29,16,6,6,4,48,19,32,29,49,19,18,42,74,39,28,42,0,0,2,32,2,1,4,117,1,2,0,clean
60,2,3,2,60,13,32,11273,88302,769116,27,5,15,1.53005,3.16923,2,2,2,2,3,8,0.412664,67.0852,32.5021,991,13,1378,29,17,2,3,2,2,21,8,19,13,24,10,5,22,31,14,8,14,0,0,0,9,0,0,2,58,1,1,0,clean
27,22,8,8,79,5,10,0,3800714,0,56,1,5,0,0,0,0,0,0,3,12,14.5518,64.3337,21.1145,912,20,10.3333,2,0,1,2,2,2,6,6,6,10,6,4,7,12,65,14,12,27,0,1,0,6,0,0,1,27,1,1,0,clean
57,10,3,3,59,16,28,0,0,0,21,16,46,0,0,0,0,0,0,2,6,6.874,92.4052,0.720769,1105,0,2,1,0,3,3,5,7,20,11,21,12,22,16,7,19,34,11,9,20,0,2,2,15,2,3,3,55,4,1,1,clean
37,4,3,3,54,9,40,0,537426,0,14,38,66,0,0,0,0,0,0,28,5,36.5363,63.1051,0.358579,321,5,18.8,5,0,36,1,1,2,17,4,7,11,20,5,2,13,42,5,6,11,0,0,0,38,1,2,1,36,3,0,0,buggy
57,10,3,3,59,16,28,0,0,0,21,16,46,0,0,0,0,0,0,2,6,6.874,92.4052,0.720769,1105,0,2,1,0,3,3,5,7,20,11,21,12,22,16,7,19,34,11,9,20,0,2,2,15,2,3,3,55,4,1,1,clean
2,0,0,0,0,2,2,834892,481619,1797779,1,0,6,0.569402,1.6875,2,2,2,1,1,5,80.9045,15.5779,3.51759,20,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,clean
99,1,3,2,151,21,219,0,1331,44416,21,222,310,0,0,0,0,0,0,69,4,12.0737,49.7264,38.1999,2775,7,285.5,24,0,128,2,4,9,50,8,12,31,51,11,5,35,115,11,10,22,0,0,0,141,1,1,3,97,2,1,0,clean
132,1,4,2,200,21,219,0,1331,44416,28,296,411,0,0,0,0,0,0,92,5,16.0748,32.9921,50.9332,3688,9,246,24,0,170,2,6,12,67,10,16,41,67,14,6,46,152,14,14,29,0,0,0,188,2,1,4,129,2,1,0,clean
103,1,2,2,146,21,219,0,1331,44416,20,252,312,0,0,0,0,0,0,76,4,24.6031,49.8309,25.566,2440,13,117,15,0,160,2,4,8,46,8,15,36,48,11,4,42,109,11,10,22,0,0,0,172,1,1,2,102,1,1,0,clean
